Site,Date_mm/dd/yy,Avg_Depth_m,Start_Time,Duration_min,Visibility_m,Weather,Current,Boats,Researcher,Parrotfish,Rabbitfish,Butterflyfish,Angelfish,Cleaner_Wrasse,Batfish,Thicklip,Red_Breast,Slingjaw,Sweetlips,Squirrel/Soldier,Triggerfish,Porcupine/Puffer,Ray,Snapper<30,Snapper>30,Eel,Trevally,Emperorfish,Grouper<30,Grouper>30,Barracuda,Total_abundance_N
Green Rock,06/01/2023,12,8:00,25,12,1,None,0,GlobalReef,50.5,20.5,37.5,5.0,10.5,0.0,7.5,8.5,4.5,0.0,0.5,2.0,0.0,0.0,92.5,1.0,0.0,0.0,5.5,35.0,2.0,0.0,283.0
White Rock,09/01/2023,11,11:00,25,12,1,None,5,GlobalReef,35.5,65.0,56.0,3.5,19.5,0.0,3.5,17.5,2.0,0.0,41.0,3.0,0.0,0.0,184.5,2.0,0.0,11.5,42.5,73.0,25.0,0.0,585.0
Red Rock,09/01/2023,10,10:30,25,12,1,None,1,GlobalReef,57.5,42.5,53.0,2.5,6.5,1.5,6.0,10.5,8.0,2.5,5.0,1.5,0.0,0.0,83.5,0.0,0.0,0.5,2.0,43.0,5.0,0.0,331.0
Twins,09/01/2023,11,15:00,25,12,1,None,4,GlobalReef,75.5,72.0,30.5,0.0,7.5,0.0,5.0,18.5,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,37.0,18.0,0.0,297.0
Green Rock,09/01/2023,11,8:00,25,10,1,None,1,GlobalReef,79.0,56.0,49.5,4.5,13.0,0.0,6.0,15.0,4.0,0.0,5.0,5.0,0.0,0.0,70.5,0.0,0.0,1.5,4.5,42.0,7.5,0.0,363.0
White Rock,10/01/2023,14,NA,25,18,1,None,10,GlobalReef,30.0,53.0,51.8,1.8,20.2,0.0,2.3,16.2,2.8,3.8,62.7,1.3,0.0,0.0,91.7,0.0,0.2,1.8,3.7,56.7,31.7,0.0,431.7
Twins,10/01/2023,14,NA,NA,18,5,NA,4,GlobalReef,50.5,39.5,44.3,1.5,12.5,0.0,9.0,20.3,11.3,0.0,18.3,1.3,0.0,0.0,4.0,0.0,0.0,2.8,9.8,54.0,30.3,0.0,309.0
Green Rock,10/01/2023,12,7:30,25,12,1,None,2,GlobalReef,100.8,28.5,70.5,3.0,32.0,0.0,10.3,15.0,7.3,0.0,2.3,9.8,0.0,0.0,73.5,0.0,0.0,8.3,6.8,39.0,6.8,0.0,413.5
Red Rock,10/01/2023,12,7:30,25,18,1,Strong,3,GlobalReef,134.8,32.6,45.8,6.4,18.0,0.0,7.6,13.6,6.4,0.0,0.2,1.6,0.0,0.0,91.0,3.0,0.0,1.4,3.2,39.4,17.4,0.0,422.4
Green Rock,11/01/2023,12,8:00,25,2,1,None,0,GlobalReef,110.5,45.5,45.0,2.0,16.5,0.0,6.0,14.5,6.0,0.0,0.0,2.5,0.0,0.0,48.0,2.5,0.0,2.5,8.5,35.5,5.0,0.0,350.5
White Rock,01/01/2024,14,10:00,25,12,1,None,11,GlobalReef,31.8,28.3,78.0,2.5,21.8,0.0,5.0,20.0,1.8,0.0,113.0,1.0,0.0,0.3,95.5,1.0,0.0,2.0,4.5,69.8,7.0,0.0,483.0
Twins,01/01/2024,12,8:00,25,12,1,None,6,GlobalReef,75.5,14.5,37.0,2.0,13.5,0.0,5.5,16.5,10.0,0.0,15.5,3.0,0.0,0.0,2.5,0.0,0.0,4.0,8.5,57.5,12.0,0.0,277.5
Red Rock,01/24/2024,13,8:00,25,18,1,None,1,GlobalReef,61.0,60.0,61.0,4.0,12.0,0.0,14.0,10.0,10.0,0.0,13.0,1.0,0.0,0.0,21.0,4.0,0.0,3.0,3.0,76.0,7.0,0.0,360.0
Twins,02/01/2024,12,13:00,25,12,1,None,8,GlobalReef,35.0,52.0,34.5,0.0,13.0,0.0,3.0,16.5,9.5,0.0,19.0,3.5,0.5,0.0,1.0,0.5,0.0,6.5,4.5,30.0,18.0,0.0,247.0
White Rock,02/01/2024,14,9:15,25,10,1,None,,GlobalReef,42.0,17.0,42.0,3.5,20.5,0.0,5.5,19.5,0.0,0.0,20.5,2.5,0.0,0.0,129.5,1.0,0.0,2.0,6.0,75.5,2.5,1.0,390.5
Green Rock,02/01/2024,12,7:30,25,10,1,None,3,GlobalReef,124.0,44.0,45.0,9.5,8.0,0.0,8.0,6.5,5.5,0.0,8.0,5.5,0.0,0.0,17.0,1.0,0.0,2.5,9.0,33.0,6.5,0.5,333.5
Red Rock,02/24/2024,13,10:00,25,12,1,None,0,GlobalReef,52.5,40.0,84.0,3.0,7.5,0.0,7.5,12.5,15.5,0.0,12.5,1.0,0.0,0.0,79.5,0.5,0.0,2.0,4.5,65.5,7.5,0.0,395.5
White Rock,03/01/2024,14,10:00,25,18,1,None,7,GlobalReef,41.5,22.5,71.0,0.5,17.0,0.0,5.5,18.5,0.0,0.0,95.5,4.0,0.0,0.0,138.0,0.0,0.0,14.0,2.5,61.0,15.0,0.0,506.5
Twins,03/01/2024,13,13:00,25,12,1,None,8,GlobalReef,42.0,28.5,27.0,4.5,11.0,1.0,6.5,19.5,16.0,0.0,13.5,4.5,0.0,0.0,0.5,0.5,0.0,2.5,11.5,38.0,13.0,0.0,240.0
Red Rock,03/19/2024,NA,9:22,NA,12,1,NA,1,GlobalReef,44.5,39.5,57.5,0.5,11.0,0.0,8.0,9.5,4.5,0.0,10.0,0.5,0.0,0.0,24.5,0.0,0.0,7.5,3.5,56.5,6.0,0.0,283.5
